Painel de vendas
Última atualização,September 07 2024 3:1:40 PM BRT

Filtrar seleção
Data,Custom
Detalhamento das vendas,Total do site da Amazon
Gestão de logística,Ambos (Amazon e vendedor)

Panorama de vendas
Total de itens do pedido,Unidades pedidas,Vendas de produtos pedidos,Média de unidades/item do pedido,Média de vendas/item do pedido
37,43,"R$ 2.439,80",1.16,65.94
Comparar vendas - Exibição em gráfico
Horário,Período selecionado (Vendas de produtos pedidos),Período selecionado (Unidades pedidas),Mesmo período um ano atrás (Vendas de produtos pedidos),Mesmo período um ano atrás (Unidades pedidas)
2024-09-07T07:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-07T08:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-07T09:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-07T10:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-07T11:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-07T12:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-07T13:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-07T14:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-07T15:00:00,,,"R$ 0,00",0.0
Comparar vendas - Exibição em tabela
,Total de itens do pedido,Unidades pedidas,Vendas de produtos pedidos,Média de unidades/item do pedido,Média de vendas/item do pedido
Período selecionado,37,43,"R$ 2.439,80",1.16,65.94
Mesmo período um ano atrás,0,0,"R$ 0,00",0.0,0.0
% de mudança de mesmo período um ano atrás,N/D,N/D,N/D,N/D,N/D
Período selecionado durante 9/7/24 15h BRT,37,43,"R$ 2.439,80",1.16,65.94
Mesmo período um ano atrás durante 9/7/23 15h BRT,0,0,"R$ 0,00",0.0,0.0
