uid,__fonte,nome_original,nome_canonico,chave_strict,chave_loose,preparo_detectado,grupo,subgrupo,subgrupo_n3
f783cd19-841e-5d89-8bde-afb818942850,CIQUAL,Nougat glacé,Nougat glacé,nougat glace,nougat glace,,,desserts glacés,-
f7965b42-0ce7-5a7a-adce-b9ab0599db09,CIQUAL,Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes,Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes,cereales pour petit dejeuner fourrees au chocolat ou chocolat-noisettes,cereales pour petit dejeuner fourrees au chocolat ou chocolat-noisettes,,,céréales de petit-déjeuner,-
f7a16845-052c-5d1c-9f2a-4885cd0aec8b,CIQUAL,"Crêpe ou Galette complète (oeuf, jambon, fromage), préemballée","Crêpe ou Galette complète (oeuf, jambon, fromage), préemballée",crepe ou galette complete oeuf jambon fromage preemballee,crepe ou galette complete oeuf jambon fromage preemballee,,,"pizzas, tartes et crêpes salées",-
f7a53036-0938-5a7c-9d03-5302a061c4d7,CIQUAL,"Mangue verte, pulpe, crue, prélevée à la Martinique","Mangue verte, pulpe, crue, prélevée à la Martinique",mangue verte pulpe crue prelevee a la martinique,mangue verte pulpe crue prelevee a la martinique,,,fruits,fruits et leurs produits de la Martinique
f7ac1a69-3087-5efd-9ba7-8f27f6e1cbc2,INSA,Pimenta moída,Pimenta moída,pimenta moida,pimenta moida,,,,
f811fd14-f729-5362-8b92-5a3b5ffda421,INSA,"Porco, toucinho entremeado fresco, cru","Porco, toucinho entremeado fresco, cru",porco toucinho entremeado fresco cru,porco toucinho entremeado fresco,cru,,,
f8133210-cb66-50f8-b637-ebc8d6defea8,TBCA,289,289,289,289,,,,
f8317a10-0f06-5596-b313-f7c665704a84,INSA,"Castanha de caju torrada, sem sal","Castanha de caju torrada, sem sal",castanha de caju torrada sem sal,castanha de caju torrada,sem sal,,,
f83f5f18-4b0f-5d98-bcaf-f1cf4acc6559,TACO,Maria mole,Maria mole,maria mole,maria mole,,Produtos açucarados,,
f845ad03-3824-56cb-bef6-374772730969,CIQUAL,"Tacaud, cru","Tacaud, cru",tacaud cru,tacaud,cru,,poissons crus,-
f8538248-4154-54ff-b031-2ae7bc3e420a,INSA,"Pargo mulato assado com cebola, tomate e azeite","Pargo mulato assado com cebola, tomate e azeite",pargo mulato assado com cebola tomate e azeite,pargo mulato com cebola tomate e azeite,assado,,,
f857fd36-298a-5391-88ef-317b1e5a8f2c,INSA,"Margarina 3/4, de girassol","Margarina 3/4, de girassol",margarina 3/4 de girassol,margarina 3/4 de girassol,,,,
f859ce61-6d26-59bd-9f39-a75e826ad338,CIQUAL,"Bar commun ou loup, cru, sans précision","Bar commun ou loup, cru, sans précision",bar commun ou loup cru sans precision,bar commun ou loup sans precision,cru,,poissons crus,-
f863ce67-6f63-5bb2-a769-dd42f547155e,TACO,"Abobrinha, paulista, crua","Abobrinha, paulista, crua",abobrinha paulista crua,abobrinha paulista,crua,"Verduras, hortaliças e derivados",,
f88ca734-e7f9-5777-b6f8-5e635690ae96,CIQUAL,"Tarte à la provençale, préemballée","Tarte à la provençale, préemballée",tarte a la provencale preemballee,tarte a la provencale preemballee,,,"pizzas, tartes et crêpes salées",-
f88d7322-09aa-54ac-9740-abeb82d8118c,INSA,"Leite meio gordo de pastagem, UHT","Leite meio gordo de pastagem, UHT",leite meio gordo de pastagem uht,leite meio gordo de pastagem uht,,,,
f89de7bf-bb9c-5a53-b771-bf1b294e01b9,CIQUAL,"Courgette, pulpe et peau, rôtie/cuite au four","Courgette, pulpe et peau, rôtie/cuite au four",courgette pulpe et peau rotie/cuite au four,courgette pulpe et peau rotie/cuite au four,,,légumes,légumes cuits
f8a349e5-4a65-5421-a14c-edbc0a1cb270,INSA,"Porco, toucinho entremeado ligeiramente salgado, cozido sem adição de sal","Porco, toucinho entremeado ligeiramente salgado, cozido sem adição de sal",porco toucinho entremeado ligeiramente salgado cozido sem adicao de sal,porco toucinho entremeado ligeiramente salgado sem adicao de sal,cozido,,,
f8a799c6-e11e-5798-8211-adff7da75c23,CIQUAL,"Jus d'ananas, à base de concentré","Jus d'ananas, à base de concentré",jus d ananas a base de concentre,jus d ananas a base de concentre,,,boissons sans alcool,jus
f8a79b63-d701-5bde-ae89-b2a9ace2c388,CIQUAL,Édulcorant à la saccharine,Édulcorant à la saccharine,edulcorant a la saccharine,edulcorant a la saccharine,,,"sucres, miels et assimilés",-
f8af3781-1330-5113-962c-9baa826958ea,CIQUAL,Farine de maïs,Farine de maïs,farine de mais,farine de mais,,,,
f8af776c-d4b0-53d4-8755-68581e31fbdd,TBCA,255,255,255,255,,,,
f8b83c2e-0a96-5c72-956f-2c13d7bba165,CIQUAL,"Salade verte, crue, sans assaisonnement","Salade verte, crue, sans assaisonnement",salade verte crue sans assaisonnement,salade verte crue sans assaisonnement,,,légumes,légumes crus
f8beaf4e-6b8d-5fd8-a75f-8eebcdef8003,INSA,"Iogurte líquido meio gordo, aromatizado, açucarado ","Iogurte líquido meio gordo, aromatizado, açucarado",iogurte liquido meio gordo aromatizado acucarado,iogurte liquido meio gordo aromatizado acucarado,,,,
f8da40e6-ef14-5aec-9dec-4f51cc77bcd1,INSA,Bacalhau fresco cozido,Bacalhau fresco cozido,bacalhau fresco cozido,bacalhau fresco,cozido,,,
f8ebf796-e5e6-5b46-81f5-3f68bc5cc38e,INSA,"Vinho do Porto, seco","Vinho do Porto, seco",vinho do porto seco,vinho do porto,seco,,,
f8f422cd-587a-5c60-bd66-11890d393843,INSA,"Frango (1/4), perna com costa e pele, crua","Frango (1/4), perna com costa e pele, crua",frango 1/4 perna com costa e pele crua,frango 1/4 perna com costa e pele,crua,,,
f8f7bccd-1843-5aa3-a94f-627dbff136bd,CIQUAL,"Poivre noir, poudre","Poivre noir, poudre",poivre noir poudre,poivre noir poudre,,,épices,-
f9191129-3ef5-5f23-8ad6-807fee243f7d,TACO,"Ovo, de galinha, inteiro, cru","Ovo, de galinha, inteiro, cru",ovo de galinha inteiro cru,ovo de galinha inteiro,cru,Ovos e derivados,,
f9191129-3ef5-5f23-8ad6-807fee243f7d,INSA,"Ovo de galinha inteiro, cru","Ovo de galinha inteiro, cru",ovo de galinha inteiro cru,ovo de galinha inteiro,cru,,,
f92bb478-4340-5f7e-a754-5922f29ea85a,TACO,"Pão, de soja","Pão, de soja",pao de soja,pao de soja,,Cereais e derivados,,
f92bdc38-6bce-5566-a4bb-e41ea9389fe9,INSA,Óleo de amendoim,Óleo de amendoim,oleo de amendoim,oleo de amendoim,,,,
f93501ec-2c5a-547a-ba56-23274681925c,CIQUAL,"Boeuf, faux-filet, cru","Boeuf, faux-filet, cru",boeuf faux-filet cru,boeuf faux-filet,cru,,viandes crues,bœuf et veau
f93ee352-9c31-5145-8b99-1fddf516b324,CIQUAL,"Crêpe ou Galette fourrée béchamel jambon fromage champignon, préemballée","Crêpe ou Galette fourrée béchamel jambon fromage champignon, préemballée",crepe ou galette fourree bechamel jambon fromage champignon preemballee,crepe ou galette fourree bechamel jambon fromage champignon preemballee,,,"pizzas, tartes et crêpes salées",-
f94b6e51-f7ac-5899-9ad8-32f491ee043f,CIQUAL,Oeuf au jambon en gelée,Oeuf au jambon en gelée,oeuf au jambon en gelee,oeuf au jambon en gelee,,,charcuteries et assimilés,autres spécialités charcutières
f95451aa-6eb8-5158-a649-8f8297a623d6,INSA,"Borrego, perna ou costeleta crua","Borrego, perna ou costeleta crua",borrego perna ou costeleta crua,borrego perna ou costeleta,crua,,,
f95f6c51-9e32-539a-be0b-b97924295fbf,CIQUAL,"Sauce béchamel, préemballée","Sauce béchamel, préemballée",sauce bechamel preemballee,sauce bechamel preemballee,,,sauces,sauces chaudes
f964e96f-d2a6-58f6-bac0-4618a9a43adc,TBCA,122,122,122,122,,,,
f985bc2f-5ecb-53a2-ad29-779cf095ec97,TBCA,405,405,405,405,,,,
